start_key,end_key,same_station,trip_count,duration_sum_min,duration_le_3m_count,duration_3_15m_count,duration_gt_15m_count,avg_duration_min,start_station,end_station
eecbf56aadb1806e,690d03718d4188b6,False,20024,677259.5885166666,928,2849,16247,33.8223925547676,"Hyde Park Corner, Hyde Park","Albert Gate, Hyde Park"
690d03718d4188b6,eecbf56aadb1806e,False,17950,606066.5255666665,933,2779,14238,33.76415184215412,"Albert Gate, Hyde Park","Hyde Park Corner, Hyde Park"
eecbf56aadb1806e,f7142868e040f96c,False,17211,490630.8404666664,1,3576,13634,28.5068177599597,"Hyde Park Corner, Hyde Park","Triangle Car Park, Hyde Park"
eecbf56aadb1806e,21ed84e8fe47fcb8,False,16848,440143.3785666669,0,4717,12131,26.124369573045282,"Hyde Park Corner, Hyde Park","Serpentine Car Park, Hyde Park"
ee9ba14cd5681406,74e4ee432d10e937,False,16299,60498.56300000004,5323,10901,75,3.7117959997545884,"Ackroyd Drive, Bow","Maplin Street, Mile End"
f7142868e040f96c,eecbf56aadb1806e,False,15418,420300.2512333333,1,4819,10598,27.260361346045745,"Triangle Car Park, Hyde Park","Hyde Park Corner, Hyde Park"
62e6f4993d600f2a,eecbf56aadb1806e,False,15264,449778.51010000013,0,2396,12868,29.46662146881552,"Black Lion Gate, Kensington Gardens","Hyde Park Corner, Hyde Park"
eecbf56aadb1806e,62e6f4993d600f2a,False,15124,488794.5725666669,0,1760,13364,32.31913333553735,"Hyde Park Corner, Hyde Park","Black Lion Gate, Kensington Gardens"
62e6f4993d600f2a,ceb99a45e6ad9299,False,14843,290786.0990833334,995,7451,6397,19.590790209750953,"Black Lion Gate, Kensington Gardens","Palace Gate, Kensington Gardens"
74e4ee432d10e937,ee9ba14cd5681406,False,14510,56587.996816666695,4995,9381,134,3.89993086262348,"Maplin Street, Mile End","Ackroyd Drive, Bow"
ceb99a45e6ad9299,62e6f4993d600f2a,False,13522,300218.2147499998,124,7231,6167,22.202204906818505,"Palace Gate, Kensington Gardens","Black Lion Gate, Kensington Gardens"
21ed84e8fe47fcb8,eecbf56aadb1806e,False,13392,330037.2351333335,0,4662,8730,24.64435746216648,"Serpentine Car Park, Hyde Park","Hyde Park Corner, Hyde Park"
8568b40c1b06f9a5,3426384f7e12e637,False,12958,101143.61248333332,1,12459,498,7.805495638473014,"Monier Road, Hackney Wick","Stratford Station, Stratford"
9fec329df9cd24b7,abda93ac57960863,False,12799,446862.2697333334,512,1755,10532,34.91384246685939,"Aquatic Centre, Queen Elizabeth Olympic Park","Podium, Queen Elizabeth Olympic Park"
79eabdda41197796,eecbf56aadb1806e,False,12509,447113.5139166667,133,2156,10220,35.74334590428225,"Park Lane , Hyde Park","Hyde Park Corner, Hyde Park"
3426384f7e12e637,8568b40c1b06f9a5,False,12390,98200.4046,1,11988,401,7.925779225181597,"Stratford Station, Stratford","Monier Road, Hackney Wick"
eecbf56aadb1806e,79eabdda41197796,False,12163,428188.9127666667,16,2561,9586,35.20421875907808,"Hyde Park Corner, Hyde Park","Park Lane , Hyde Park"
abda93ac57960863,9fec329df9cd24b7,False,11770,473685.1115666666,587,1884,9299,40.24512417728688,"Podium, Queen Elizabeth Olympic Park","Aquatic Centre, Queen Elizabeth Olympic Park"
eecbf56aadb1806e,a24a40199195277e,False,11415,268202.6738,0,4744,6671,23.495635024091108,"Hyde Park Corner, Hyde Park","Queen's Gate, Kensington Gardens"
9fec329df9cd24b7,8568b40c1b06f9a5,False,10707,89849.77741666666,314,9388,1005,8.391685571744341,"Aquatic Centre, Queen Elizabeth Olympic Park","Monier Road, Hackney Wick"
