station_key,canonical_name,outflow,inflow,net_inflow,throughput
0372f62c606b2c3e,"Taviton Street, Bloomsbury",80578.0,74124.0,-6454.0,154702.0
cbaee723393aa8b1,"Percival Street, Finsbury",52377.0,45926.0,-6451.0,98303.0
9c419bcc25600717,"Wood Street, Guildhall",38832.0,45189.0,6357.0,84021.0
7f4b3c28dfdeb6cd,"Longford Street, The Regent's Park",44724.0,38428.0,-6296.0,83152.0
7b040fc734aaa706,"Goswell Road (City Uni), Finsbury",44958.0,38741.0,-6217.0,83699.0
e8f42cf514448a65,"Drury Lane, Covent Garden",129410.0,135599.0,6189.0,265009.0
c76d58ac9e04c1fe,"New North Road 2, Hoxton",38445.0,32273.0,-6172.0,70718.0
bdcb992e2ad1f364,"Alma Road, Wandsworth",31165.0,24998.0,-6167.0,56163.0
c579b9e79e89d251,"Fire Brigade Pier, Vauxhall",69005.0,62887.0,-6118.0,131892.0
2cad87ae8fb84ed9,"Parkway, Camden Town",37266.0,43373.0,6107.0,80639.0
f1d9271adfd0fba0,"Gloucester Terrace, Bayswater",58406.0,52301.0,-6105.0,110707.0
5cf242de49d712f1,"Craven Street, Strand",166448.0,172327.0,5879.0,338775.0
85bb97356ee1e8c3,"Coram Street, Bloomsbury",55523.0,49648.0,-5875.0,105171.0
a367a637a25841f6,"Cartwright Gardens , Bloomsbury",67102.0,61280.0,-5822.0,128382.0
64275942670fb31f,"Durant Street, Bethnal Green",66772.0,60963.0,-5809.0,127735.0
c4bc284729990d01,"Harrington Square 1, Camden Town",53075.0,47292.0,-5783.0,100367.0
c214d9dd3593beee,"Finsbury Leisure Centre, St. Luke's",113247.0,107508.0,-5739.0,220755.0
7cd81808140e2183,"Stonecutter Street, Holborn",26469.0,32204.0,5735.0,58673.0
5a6e87aa4100e5e0,"Christopher Street, Liverpool Street",45582.0,51258.0,5676.0,96840.0
5fbc6e247a7767c5,"Westfield Ariel Way, White City",69491.0,75154.0,5663.0,144645.0
6939ea75f4f053f9,"North Wharf Road, Paddington",62477.0,56821.0,-5656.0,119298.0
191831d0cf7d7c87,"Horseferry Road, Westminster",76404.0,82047.0,5643.0,158451.0
6dc117ca83523872,"Worship Street, Shoreditch",75517.0,81122.0,5605.0,156639.0
